epoch,train_loss,val_acc
1,0.18410212458283812,0.9723333333333334
2,0.051819601078414254,0.981
3,0.03548882109858096,0.9878333333333333
4,0.026132566889610003,0.9886666666666667
5,0.01919015744054276,0.99
