epoch,loss
1,2.050967681221664
2,1.580772335641086
3,1.3912788713350892
4,1.280038708820939
5,1.2483936985954642
6,1.188359271734953
7,1.2320997072383761
8,1.214031876064837
9,1.1528136087581515
10,1.1424985164776444
11,1.09667559992522
12,1.043001249898225
13,1.0746942055411637
14,1.0399179966188967
15,1.0146799334324896
16,1.029890495352447
17,1.034076358191669
18,1.0553253963589668
19,0.9944423534907401
20,0.98221450811252
21,0.9846433782950044
22,1.0326687046326697
23,0.9823323525488377
24,0.9721185266971588
25,0.9675816227681935
26,0.9795136079192162
27,0.9756244951859117
28,0.9823994799517095
29,0.9560795030556619
30,0.9674025336280465
31,0.9583163857460022
32,0.959181766025722
33,0.958180618006736
34,0.9655933119356632
35,0.9597462406381965
36,0.9504099832847714
37,0.9652828727848828
38,0.9517086083069444
39,0.944632132537663
40,0.9408412827178836
41,0.9819641816429794
42,0.9491595239378512
43,0.9402240682393312
44,0.9363482263870537
45,0.9584134384058416
46,0.9536359896883368
47,0.9357746974565089
48,0.9313933914527297
49,0.9394411579705775
50,0.9439948392100632
51,0.9301661611534655
52,0.9411598537117243
53,0.9296826124191284
54,0.9295796086080372
55,0.9336026310920715
56,0.9310509939678013
57,0.9350811787880957
58,0.9433932108804584
59,0.9307403760030866
60,0.9277561493217945
61,0.9329852806404233
62,0.9278065711259842
63,0.9195398557931185
64,0.9235654654912651
65,0.9296488636173308
66,0.9236840857192874
67,0.9283897411078215
68,0.9309382899664342
69,0.9344167206436396
70,0.9196478840894997
71,0.9217725666239858
72,0.9260588460601866
73,0.9198767147026956
74,0.9372324477881193
75,0.9366483204066753
76,0.9176228046417236
77,0.9155716169625521
78,0.9200388472527266
79,0.9245247878134251
80,0.9211380793713033
