epoch,loss
1,0.20157994446344674
2,0.06160335530876182
3,0.056012361688772216
4,0.0537700297718402
5,0.04985998549091164
6,0.05048631025420036
7,0.04978470389323775
8,0.047773957150639035
9,0.047652155088144355
10,0.048057664738735184
11,0.048469499713974074
12,0.04745474690571427
13,0.04704387456877157
14,0.04825260964571498
15,0.04730276808550116
16,0.04819238663185388
17,0.04680311994161457
18,0.04705760205979459
19,0.046136410237522796
20,0.048495022871065885
21,0.04725152987521142
22,0.0452365633827867
23,0.04628518749086652
24,0.04681049806822557
25,0.04534953166148625
26,0.046323692236910574
27,0.04658245544123929
28,0.045805148663930595
29,0.045654268746147864
30,0.04659888563037384
31,0.044920193977304734
32,0.046028694705455564
33,0.04736472517834045
34,0.04649386879464146
35,0.045297006668988615
36,0.04308778382255696
37,0.045288932567927986
38,0.045242823733133264
39,0.04591677642019931
40,0.04418100758630317
41,0.04515189667290542
42,0.044868924538604915
43,0.04520077882625628
44,0.043849831316038035
45,0.04615890020795632
46,0.04466755849716719
47,0.0453928965725936
48,0.04580724588595331
49,0.043553893876378424
50,0.044276132714003325
51,0.04514896603359375
52,0.04422236327081919
53,0.04611194916651584
54,0.04382863292994443
55,0.04487310974218417
56,0.04378314824134577
57,0.0443122584692901
58,0.04435115191154182
59,0.04556785251770634
60,0.04538327280897647
61,0.0457142331142677
62,0.044787340695620514
63,0.043725178999011405
64,0.04337195171683561
65,0.04479329296736978
66,0.044261430797632784
67,0.04435410840960685
68,0.044997927456279285
69,0.04343555409286637
70,0.04569683792942669
71,0.04350023496954236
72,0.04502809494442772
73,0.04292616079328582
74,0.045952972694067284
75,0.04464205022668466
76,0.04353486213949509
77,0.04513451558887027
78,0.04504816698317882
79,0.04346659446309786
80,0.04336594729102217
81,0.04565086058573797
82,0.043775960424682125
83,0.043672354804584756
84,0.04362002632115036
85,0.044844350835774094
86,0.044304291004664265
87,0.043515515062608756
88,0.04422137440997176
89,0.043930034516961314
90,0.04390652784786653
91,0.043448680531582795
92,0.04465070071455557
93,0.04271284917194862
94,0.0453989479719894
95,0.04355127105372958
96,0.0438489563530311
97,0.04333700465213042
98,0.043563440020079724
99,0.044336504623061046
100,0.04290697838587221
101,0.043793789358460344
102,0.04506843481794931
103,0.04300418992352206
104,0.044074102319427766
105,0.045042921366984956
106,0.04280200452194549
107,0.043794874916784465
108,0.04317213426111266
109,0.04178575820697006
110,0.04352713302068878
111,0.043445144372526556
112,0.043337413953850046
113,0.04264581989264116
114,0.04362068111367989
115,0.044575711304787546
116,0.04376893011794891
117,0.04438175543327816
118,0.0435508488008054
119,0.04231520190660376
120,0.04300621114089154
121,0.045205258546047844
122,0.042670142705901526
123,0.04399548436049372
124,0.04195179157250095
125,0.042680371945607476
126,0.04290604090783745
127,0.04236225617933087
128,0.044099351594923064
129,0.04235324893670622
130,0.04209199410979636
131,0.04303013125900179
132,0.04328528394398745
133,0.04390217248874251
134,0.04577408020850271
135,0.041384985015611164
136,0.042656779172830284
137,0.044071049051126465
138,0.04280863322492223
139,0.04186311150260735
140,0.044555952757946216
141,0.04277193381858524
142,0.043031942725065164
143,0.0427742573665455
144,0.044203172423294745
145,0.04441906858119182
146,0.043093747983220965
147,0.04204744697199203
148,0.04203336355567444
149,0.042144415667280555
150,0.044342806591885164
151,0.043354637193260714
152,0.04376368419616483
153,0.04333658864197787
154,0.04259897554584313
155,0.043996512264129706
156,0.04288642328174319
157,0.04279167427739594
158,0.044074309582356364
159,0.04254816265893169
160,0.04261075999238528
161,0.04146669214242138
162,0.04184648358204868
163,0.042698174380348064
164,0.042468826155527495
165,0.04182008180941921
166,0.04220447670377325
167,0.043999444038490765
168,0.043324694750481285
169,0.0428518114349572
170,0.043794813012937084
171,0.043732650694437325
172,0.04282264916400891
173,0.04137133863696363
174,0.04411501545109786
175,0.04183798407029826
176,0.042673224801546894
177,0.04207463395141531
178,0.042313044526963495
179,0.04351262318959925
180,0.0439413839194458
181,0.04353367669682484
182,0.04295435162202921
183,0.04271137523755897
184,0.041895570102497004
185,0.04261197044979781
186,0.043054754176409915
187,0.0421164152212441
188,0.04125802243652288
189,0.041602289624279365
190,0.04356547718634829
191,0.04294388489506673
192,0.043570215348154306
193,0.04250445085926913
194,0.04287307670165319
195,0.04247626010328531
196,0.04316121884039603
197,0.04128356224100571
198,0.04401794965087902
199,0.042267648575943895
200,0.043383440643083304
