epoch,mse_loss
1,0.26620371741970134
2,0.2619953877061503
3,0.25870591653423936
4,0.2561735395388185
5,0.25424624797964257
6,0.25279139484522645
7,0.251698966274432
8,0.25088093375593606
9,0.25026864074858424
10,0.24980951369412524
11,0.2494638215696985
12,0.2492018210364303
13,0.24900139552205108
14,0.24884617836367898
15,0.24872409897975922
16,0.24862627633074147
17,0.24854618683459467
18,0.24847904390447303
19,0.24842133799643856
20,0.24837049704008476
21,0.24832463645924874
22,0.2482823755087218
23,0.24824270251604946
24,0.2482048760955583
25,0.24816835277493118
26,0.248132733991896
27,0.24809772728504503
28,0.24806311788061136
29,0.24802874789103413
30,0.24799450108584709
31,0.2479602917415873
32,0.24792605647759247
33,0.24789174827759447
34,0.24785733211151845
35,0.24782278172888406
36,0.24778807731008784
37,0.24775320374591556
38,0.24771814937715742
39,0.24768290507122695
40,0.24764746354564518
41,0.24761181887237438
42,0.2475759661146547
43,0.24753990106092622
44,0.24750362002989146
45,0.24746711972771196
46,0.2474303971434093
47,0.24739344947226716
48,0.24735627405975302
49,0.24731886836048195
50,0.2472812299082014
51,0.24724335629385602
52,0.24720524514957215
53,0.24716689413698184
54,0.24712830093872531
55,0.2470894632522831
56,0.24705037878551445
57,0.24701104525344542
58,0.24697146037597234
59,0.24693162187623496
60,0.24689152747947957
61,0.24685117491228165
62,0.24681056190202955
63,0.24676968617660072
64,0.246728545464177
65,0.2466871374931628
66,0.24664545999217713
67,0.24660351069009961
68,0.24656128731615656
69,0.24651878760003498
70,0.2464760092720174
71,0.24643295006313143
72,0.24638960770531032
73,0.24634597993156104
74,0.24630206447613723
75,0.24625785907471648
76,0.24621336146457962
77,0.24616856938479215
78,0.24612348057638594
79,0.2460780927825423
80,0.24603240374877383
81,0.24598641122310777
82,0.24594011295626733
83,0.24589350670185373
84,0.2458465902165265
85,0.2457993612601836
86,0.24575181759614007
87,0.24570395699130623
88,0.24565577721636397
89,0.2456072760459424
90,0.24555845125879175
91,0.24550930063795595
92,0.24545982197094388
93,0.24541001304989873
94,0.24535987167176615
95,0.24530939563845972
96,0.24525858275702583
97,0.2452074308398059
98,0.24515593770459626
99,0.24510410117480713
